question,volume,liquidity,slug,end_date,active
Spread: NEC (-2.5),99.396075,67411.9167,ere-nec-sit-2026-02-28-spread-home-2pt5,2026-02-28T20:00:00Z,True
"Will the price of Bitcoin be between $64,000 and $66,000 on March 6?",99.0,2774.9392,will-the-price-of-bitcoin-be-between-64000-66000-on-march-6,2026-03-06T17:00:00Z,True
Will Microsoft (MSFT) close at $360-$370 on the final day of trading of the week of Mar 2 – Mar 6?,99.0,821.635,will-msft-close-between-360-and-370-week-march-6-2026,2026-03-06T21:00:00Z,True
Will NS RedForce win Masters Santiago 2026?,98.66,527.8267,will-ns-redforce-win-masters-santiago-2026,2026-03-15T00:00:00Z,True
Honor of Kings: JLY vs WanZhen Esports Club - Game 1 Winner,98.52,270.09895,hok-jly-wz-2026-01-20-game1,2026-01-20T14:00:00Z,True
"Will Dominick Reyes be the UFC Light Heavyweight Champion on December 31, 2026?",98.28,293.38934,will-dominick-reyes-be-the-ufc-light-heavyweight-champion-on-december-31-2026,2026-12-31T00:00:00Z,True
"Will ""KPop Demon Hunters"" be the top global Netflix movie this week?",98.235695,2673.03374,will-kpop-demon-hunters-be-the-top-global-netflix-movie-this-week-497,2026-03-03T00:00:00Z,True
Will Mexico’s February unemployment rate be greater than or equal to 3.0%?,98.22,613.89,will-mexicos-february-unemployment-rate-be-greater-than-or-equal-to-3pt0,2026-03-27T00:00:00Z,True
Will the price of XRP be above $1.70 on March 6?,98.0408,10075.45267,xrp-above-1pt7-on-march-6,2026-03-06T17:00:00Z,True
Will Udinese Calcio win on 2026-03-02?,98.001909,147746.1391,sea-udi-fio-2026-03-02-udi,2026-03-02T19:45:00Z,True
Will Knife be above $170 by end of February?,97.998278,4.805,knife-above-170-on-february-28-2026,2026-03-01T05:00:00Z,True
Will Austin Smotherman finish in the Top 5 at the 2026 Cognizant Classic in The Palm Beaches?,97.991706,16.41992,2026-cognizant-classic-in-the-palm-beaches-top5-austin-smotherman,2026-03-01T05:00:00Z,True
"Will Trump say ""Third term"" in March?",9.991564,408.2431,will-trump-say-third-term-in-march,2026-03-31T00:00:00Z,True
"Bitcoin Up or Down - March 1, 6:30AM-6:35AM ET",9.941175,15169.4397,btc-updown-5m-1772364600,2026-03-01T11:35:00Z,True
"Ethereum Up or Down - February 28, 8:00AM-8:15AM ET",9.901959,19773.6242,eth-updown-15m-1772283600,2026-02-28T13:15:00Z,True
Will the South African Reserve Bank make no change to the repo rate after the March meeting?,9.872925,166.7222,will-the-south-african-reserve-bank-make-no-change-to-the-repo-rate-after-the-march-meeting,2026-03-26T00:00:00Z,True
Jazz vs. Wizards,9.80392,165.6666,nba-uta-was-2026-03-05,2026-03-06T00:00:00Z,True
"Bitcoin Up or Down - February 28, 10:50PM-10:55PM ET",9.80392,15315.8709,btc-updown-5m-1772337000,2026-03-01T03:55:00Z,True
"Bitcoin Up or Down - February 28, 10:30AM-10:35AM ET",9.80392,16231.2796,btc-updown-5m-1772292600,2026-02-28T15:35:00Z,True
"Bitcoin Up or Down - March 1, 4:00AM-4:05AM ET",9.80392,15134.1452,btc-updown-5m-1772355600,2026-03-01T09:05:00Z,True
"Bitcoin Up or Down - February 28, 9:20PM-9:25PM ET",9.80392,15323.9683,btc-updown-5m-1772331600,2026-03-01T02:25:00Z,True
"Ethereum Up or Down - February 28, 8:35PM-8:40PM ET",9.80392,13517.5001,eth-updown-5m-1772328900,2026-03-01T01:40:00Z,True
"Bitcoin Up or Down - February 28, 7:30PM-7:35PM ET",9.80392,15228.4641,btc-updown-5m-1772325000,2026-03-01T00:35:00Z,True
"Bitcoin Up or Down - February 28, 10:30PM-10:35PM ET",9.80392,15321.5341,btc-updown-5m-1772335800,2026-03-01T03:35:00Z,True
Radford Highlanders vs. Longwood Lancers,9.8,6002.3324,cbb-radf-longwd-2026-02-28,2026-02-28T20:00:00Z,True
